,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency,gender
2371,AVpfS7cwLJeJML436f21,Reebok,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",RosetteBlackGreenWhite,84.99,84.99,false,USD,Men
2372,AVpfBhBoilAPnD_xTQ7P,adidas,"Sporting Goods,Team Sports,Soccer,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Green,58.45,58.45,true,USD,Men
2373,AVpfBhBoilAPnD_xTQ7P,adidas,"Sporting Goods,Team Sports,Soccer,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Green,64.95,64.95,false,USD,Men
2385,AVpfTIFRilAPnD_xZHVF,New Balance,"All Men's Shoes,Shoes,Men's Shoes,Clothing",GreyGreenBlue,84.99,84.99,false,USD,Men
2386,AVpfBOAcilAPnD_xTJ-W,Ralph Lauren,"Men,Sandals,Shoes","White,Black",295.0,295.0,false,USD,Men
2394,AVpe_SQCilAPnD_xSeRB,Ralph Lauren,"Clothing, Shoes & Accessories,Men's Clothing,Jeans",Not Available,38.98,38.98,false,USD,Men
2395,AVpfTZoM1cnluZ0-iL4y,Ralph Lauren,"Clothing, Shoes & Accessories,Men's Clothing,Coats & Jackets",Black,109.99,109.99,false,USD,Men
2399,AVpfBJQ_ilAPnD_xTIRZ,PUMA,"Clothing, Shoes & Accessories,Men's Shoes,Casual",White,69.99,69.99,false,USD,Men
2408,AVpe8E9CilAPnD_xRUgV,Nike,"Running Shoes,Men's Shoes,Athletic & Running Shoes",Not Available,190.0,190.0,false,USD,Men
2410,AVpfLr5ZLJeJML434JHk,Nike,"Clothing, Shoes & Accessories,Athletic,Men's Shoes",Silve,106.49,106.49,false,USD,Men
2411,AVpfLr5ZLJeJML434JHk,Nike,"Clothing, Shoes & Accessories,Athletic,Men's Shoes",Silve,79.87,79.87,true,USD,Men
2412,AVpfPuGC1cnluZ0-g_p7,adidas,"Clothing, Shoes & Accessories,Team Sports,Men,Soccer,Shoes & Cleats,Sporting Goods",Not Available,69.9,69.9,false,USD,Men
2416,AVpe8UD1ilAPnD_xRZ2B,PUMA,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Not Available,89.9,89.9,false,USD,Men
2442,AVpe9TMpilAPnD_xRxC1,New Balance,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Not Available,66.45,66.45,false,USD,Men
2443,AVpe9WEmLJeJML43zNtQ,Nike,"Baseball & Softball,Clothing, Shoes & Accessories,Team Sports,Men's,Shoes & Cleats,Sporting Goods",Blue,29.99,29.99,false,USD,Men
2445,AVpfVBs4LJeJML437Lc-,Fossa Apparel,"All Men's Clothing,Men's Clothing,Men's Outerwear,Clothing, Shoes & Jewelry,Clothing",Not Available,82.88,82.88,false,USD,Men
2446,AVpfVBs4LJeJML437Lc-,Fossa Apparel,"All Men's Clothing,Men's Clothing,Men's Outerwear,Clothing, Shoes & Jewelry,Clothing",Not Available,63.49,63.49,true,USD,Men
2448,AVpe-ngYilAPnD_xSPZp,PUMA,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Gray,79.99,79.99,true,USD,Men
2449,AVpe-ngYilAPnD_xSPZp,PUMA,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Gray,105.0,105.0,false,USD,Men
2452,AVpe8B2LLJeJML43yvEA,adidas,"Clothing, Shoes & Accessories,Team Sports,Men,Soccer,Shoes & Cleats,Sporting Goods",Yellow,79.95,79.95,false,USD,Men
2453,AVpe8B2LLJeJML43yvEA,adidas,"Clothing, Shoes & Accessories,Team Sports,Men,Soccer,Shoes & Cleats,Sporting Goods",Yellow,89.99,89.99,false,USD,Men
2454,AVpe8B2LLJeJML43yvEA,adidas,"Clothing, Shoes & Accessories,Team Sports,Men,Soccer,Shoes & Cleats,Sporting Goods",Yellow,79.95,79.95,false,USD,Men
2455,AVpe8B2LLJeJML43yvEA,adidas,"Clothing, Shoes & Accessories,Team Sports,Men,Soccer,Shoes & Cleats,Sporting Goods",Yellow,71.95,71.95,true,USD,Men
2477,AVpfCemg1cnluZ0-cjyx,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Cl GreyWhiteAnthraciteElctrc Gr,65.83,65.83,false,USD,Men
2495,AVpfRVBRilAPnD_xYi79,Nike,"Sporting Goods,Team Sports,Football,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Black,23.95,23.95,false,USD,Men
2496,AVpe-k801cnluZ0-bLsL,Jordan,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Gym RedMetallic GoldBlackVarsity,115.0,115.0,false,USD,Men
2497,AVpfBVUK1cnluZ0-cJ3S,VANS,"Clothing, Shoes & Accessories,Men's Accessories,Backpacks, Bags & Briefcases",Same picuture,44.99,44.99,false,USD,Men
2505,AVpfEDAAilAPnD_xUISu,PUMA,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Not Available,65.0,65.0,false,USD,Men
2506,AVpe-t5XLJeJML43ztPA,PUMA,"All Men's Shoes,Men's Casual Shoes,Shoes,Men's Shoes,Clothing",Green,51.99,51.99,true,USD,Men
2507,AVpe-t5XLJeJML43ztPA,PUMA,"All Men's Shoes,Men's Casual Shoes,Shoes,Men's Shoes,Clothing",Green,60.98,60.98,true,USD,Men
2508,AVpe-t5XLJeJML43ztPA,PUMA,"All Men's Shoes,Men's Casual Shoes,Shoes,Men's Shoes,Clothing",Green,63.98,63.98,true,USD,Men
2509,AVpe-t5XLJeJML43ztPA,PUMA,"All Men's Shoes,Men's Casual Shoes,Shoes,Men's Shoes,Clothing",Green,65.0,65.0,false,USD,Men
2510,AVpe-t5XLJeJML43ztPA,PUMA,"All Men's Shoes,Men's Casual Shoes,Shoes,Men's Shoes,Clothing",Green,42.99,42.99,true,USD,Men
2511,AVpe-t5XLJeJML43ztPA,PUMA,"All Men's Shoes,Men's Casual Shoes,Shoes,Men's Shoes,Clothing",Green,41.99,41.99,true,USD,Men
2519,AVpfBaeS1cnluZ0-cLyr,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Cool GreyWhiteBlack,70.0,70.0,false,USD,Men
2520,AVpe4mRJLJeJML43xdf8,Nike,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Black,84.9,84.9,false,USD,Men
2523,AVpfBgo9ilAPnD_xTQxp,Nike,"Men's Athletic Shoes,Shoes,Men's Shoes,Clothing",BlackMulti-Color,58.0,58.0,false,USD,Men
2535,AVpe9ITLLJeJML43zIuv,VANS,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Not Available,60.0,60.0,false,USD,Men
2536,AVpe9ITLLJeJML43zIuv,VANS,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Not Available,35.98,35.98,true,USD,Men
2542,AVpe9RfwilAPnD_xRwZE,Nike,"All Men's Shoes,Shoes,Men's Shoes,Clothing",AnthraciteBlackGm Lght Brown,90.0,90.0,false,USD,Men
2551,AVpfD7KzilAPnD_xUFc0,VANS,"All Men's Shoes,Shoes,Men's Shoes,Clothing",White,45.99,45.99,true,USD,Men
2552,AVpfD7KzilAPnD_xUFc0,VANS,"All Men's Shoes,Shoes,Men's Shoes,Clothing",White,90.0,90.0,false,USD,Men
2553,AVpe-Esx1cnluZ0-bAGl,adidas,"Clothing,Shoes,Men's Shoes,All Men's Shoes",Not Available,59.99,59.99,false,USD,Men
2554,AVpe9aV8ilAPnD_xRzqb,Reebok,"All Men's Shoes,Shoes,Men's Shoes,Clothing",WHITE BLACK,50.95,50.95,false,USD,Men
2555,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2556,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2557,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2558,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2559,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2560,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2561,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2562,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2563,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2564,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2565,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2566,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2567,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2568,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
2569,AVpfD59wLJeJML431hIE,Ralph Lauren,"Men,Shoes,Boots",Black,1500.0,1500.0,false,USD,Men
