,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency
4497,AVpfBKgaLJeJML430kiQ,Isaac Mizrahi,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Yellow,70.99,70.99,FALSE,USD
4498,AVpfA34KilAPnD_xTB_r,Taryn Rose,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Ivory,39,39,TRUE,USD
4499,AVpfA34KilAPnD_xTB_r,Taryn Rose,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Ivory,79,79,FALSE,USD
4500,AVpfQ6h_ilAPnD_xYaa2,Bernardo,"Clothing,Shoes,Women's Shoes,All Women's Shoes",,169,169,FALSE,USD
4501,AVpfQ6h_ilAPnD_xYaa2,Bernardo,"Clothing,Shoes,Women's Shoes,All Women's Shoes",,29.99,29.99,TRUE,USD
4502,AVpfP1u11cnluZ0-hCJP,Marc Fisher,"Women's Casual Shoes,Shoes,Women's Shoes,Clothing","Black,Gold Leather,Light Natural",42.99,42.99,FALSE,USD
4503,AVpfQ4HtilAPnD_xYZn3,Crocs,"Shoes,Clothing,Women's Shoes,All Women's Shoes",,40.17,40.17,FALSE,USD
4504,AVpfCrM2LJeJML431GYs,Isaac Mizrahi,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,145,145,FALSE,USD
4505,AVpfCrM2LJeJML431GYs,Isaac Mizrahi,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,19.99,19.99,TRUE,USD
4506,AVpfQ4s2ilAPnD_xYZ1B,Coach,"Clothing, Shoes & Accessories,Women's Accessories,Sunglasses & Fashion Eyewear,Sunglasses",Gray,26,26,FALSE,USD
4507,AVpfFyaH1cnluZ0-ds2U,COBB HILL BY NEW BALANCE,"Shoes,Clothing,Women's Shoes,All Women's Shoes",,70,70,FALSE,USD
4508,AVpfFyaH1cnluZ0-ds2U,COBB HILL BY NEW BALANCE,"Shoes,Clothing,Women's Shoes,All Women's Shoes",,9.99,9.99,TRUE,USD
4509,AVpfP9dWLJeJML435ioV,totes,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Off-White,35.91,35.91,FALSE,USD
4510,AVpfP9_YilAPnD_xYGVU,Covington,"Women's Casual Shoes,Women's Dress Shoes,Shoes,Clothing, Shoes & Jewelry,Women's Boots,Women's Shoes","Brown,Black",99.99,99.99,FALSE,USD
4511,AVpfP9_YilAPnD_xYGVU,Covington,"Women's Casual Shoes,Women's Dress Shoes,Shoes,Clothing, Shoes & Jewelry,Women's Boots,Women's Shoes","Brown,Black",41.99,41.99,TRUE,USD
4512,AVpfA7yw1cnluZ0-cAnx,,"Athletic,Women,Shoes,Shoes & Handbags","Black,Burgundy",77.46,77.46,FALSE,CAD
4513,AVpfA77kilAPnD_xTDbK,goldia,"Women's Clothing,Intimates Accessories,All Women's Clothing,Clothing, Shoes & Jewelry,Clothing,Intimates & Sleepwear",,37.5,37.5,FALSE,USD
4514,AVpfBEpnLJeJML430iYB,Baby Phat,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Sylver,Black,Brown",14.97,14.97,TRUE,USD
4515,AVpfBEpnLJeJML430iYB,Baby Phat,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Sylver,Black,Brown",79,79,FALSE,USD
4516,AVpfFo4KilAPnD_xUr43,Delight Jewelry,"Clothing, Shoes & Jewelry,Women,Jewelry,Fashion,Bracelets,Bangle",,29.99,29.99,FALSE,USD
